Modelo,Accuracy,F1-Score,Precision,Recall
TinyBERT,0.826,0.8247013005472094,0.8293848161428524,0.826
DistilBERT,0.866,0.8653355548890254,0.8675391246493925,0.866
BERT-Mini,0.832,0.8311441078138307,0.8318046609926627,0.832
